FamilyID	Metru<1>	Glmax<2>	Setor<3>	Zeins<4>	Lyrho<5>	Cechi<6>	Poten<7>	Qumon<8>	Erjap<9>	Vivin<10>	Artha<11>	<12>	<13>	<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>
OG0000180	-1	4	-1	1	1	-3	0	-1	0	0	3	0	0	0	0	0	0	0	1	-1	0
OG0000181	14	-1	-1	0	2	-1	-3	-3	1	4	0	0	0	0	0	0	0	1	6	0	-1
OG0000182	-1	2	-3	6	5	-1	-4	4	-3	10	-3	0	2	0	0	0	0	0	0	2	0
OG0000183	9	-1	0	-1	12	-5	-6	2	-2	2	0	0	0	0	0	0	0	0	2	1	-1
OG0000184	0	7	-2	1	0	-2	-1	-3	2	5	-3	0	1	0	0	0	0	1	6	-1	-1
OG0000189	7	-1	0	-1	11	-5	-3	1	-4	4	0	0	0	0	0	1	0	1	4	0	-1
OG0000190	0	2	-3	0	0	-2	5	-3	3	2	0	0	0	0	1	0	0	0	2	-1	0
OG0000191	18	-2	-3	1	-1	0	-2	1	-4	16	0	0	0	0	-1	0	0	0	8	-3	-2
OG0000192	11	-1	-3	-3	0	2	-4	23	-7	-3	6	0	0	0	0	0	0	0	2	6	4
OG0000193	0	3	-3	1	0	-1	-3	2	-1	3	1	0	0	0	0	0	0	0	5	0	0
OG0000194	-3	1	7	2	11	-8	-1	7	-5	0	-2	0	1	0	0	1	0	0	-1	0	0
OG0000197	-1	3	-4	2	0	-4	2	2	-2	10	0	0	0	0	0	-1	0	0	0	-2	1
OG0000198	-2	5	-2	2	1	-2	6	-2	1	0	-2	0	1	0	1	0	0	0	1	-1	0
OG0000199	7	0	-4	3	2	-4	0	0	-2	9	-3	0	1	0	0	0	0	0	5	0	-3
OG0000200	0	1	-4	-2	5	-1	0	-1	0	30	-1	0	1	0	0	0	0	0	0	1	-3
OG0000202	9	-5	-5	8	0	-1	-6	2	-5	20	2	0	0	-1	-1	0	0	0	0	0	-2
OG0000203	-1	6	-2	-1	1	-2	1	-3	3	0	3	0	0	0	0	-1	0	0	1	-1	0
OG0000207	-1	7	0	1	-4	1	0	-3	1	6	-2	0	1	0	0	0	0	0	5	-2	-1
OG0000209	-1	2	-2	-3	10	-5	-2	0	-1	6	2	0	0	0	-1	0	0	0	0	0	-1
OG0000210	-1	1	-1	0	0	0	0	60	-13	-2	1	0	0	0	0	-1	0	0	0	-1	13
OG0000211	0	-1	3	-1	0	3	-4	-1	3	9	-3	0	2	0	0	0	0	0	-6	4	3
OG0000214	2	-4	4	-2	-2	2	-2	2	-4	28	-1	0	1	0	0	0	0	0	-1	0	-1
OG0000215	7	-1	0	1	1	-4	-1	1	0	-5	5	0	0	0	0	0	0	2	5	-1	0
OG0000216	2	0	-5	2	1	-5	1	-1	0	42	-3	0	1	0	0	0	0	0	0	0	-2
OG0000217	0	3	-2	0	0	-2	-2	0	-1	41	-2	0	1	0	0	0	0	0	3	0	0
OG0000219	-2	6	-3	2	0	-2	3	2	-1	1	0	0	0	0	0	0	0	0	2	-2	0
OG0000220	6	0	0	-2	2	-1	-5	-4	2	-1	7	0	0	0	0	0	0	1	4	2	-1
OG0000221	17	-1	-3	-2	-2	1	-1	-1	1	7	0	0	0	0	-1	0	0	0	5	-1	0
OG0000225	-1	2	-3	2	1	-2	3	-1	1	1	0	0	0	0	0	0	0	0	0	0	1
OG0000228	1	0	3	0	0	-1	-5	2	-4	19	2	0	0	0	-2	0	0	0	0	-3	-2
OG0000229	-1	0	-1	-1	1	-1	-2	10	-2	13	0	0	0	0	-3	0	0	0	0	0	10
OG0000232	6	0	-1	-5	0	1	-1	-2	1	15	-2	0	1	0	0	0	0	0	5	3	-1
OG0000236	3	0	-1	-2	-2	1	-2	-7	30	-3	6	0	0	0	-1	0	0	0	1	0	14
OG0000237	3	0	-2	-2	-1	0	4	6	-3	1	0	0	0	0	0	-1	0	0	1	-1	1
OG0000238	-6	63	0	-2	0	-1	-2	1	-2	0	0	0	0	0	0	0	0	0	4	-1	0
OG0000239	5	0	-2	1	0	1	-1	-2	3	4	0	0	0	0	0	0	0	0	2	0	0
OG0000240	-2	4	-1	-1	1	0	-1	1	-2	23	-3	0	1	0	0	0	0	0	1	4	-2
OG0000244	-6	3	6	-2	5	-2	-6	6	-4	7	-1	0	1	0	0	0	0	1	0	2	0
OG0000249	-1	5	-2	-1	0	0	3	-1	0	1	4	0	0	0	0	0	0	0	0	-2	-2
