#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000102	0.165312	2.51132e-151	5.66305e-53	4.43456e-99	N/S
OG0000102	0.537509	4.09655e-103	5.66305e-53	7.23382e-51	N/S
OG0000102	1.07958	1.19055e-76	5.66305e-53	2.10232e-24	N/S
OG0000102	2.2176	5.66305e-53	5.66305e-53	1	*
OG0000105	0.165312	2.1268e-151	1.48108e-57	1.43597e-94	N/S
OG0000105	0.537509	1.47261e-105	1.48108e-57	9.94281e-49	N/S
OG0000105	1.07958	2.98326e-80	1.48108e-57	2.01424e-23	N/S
OG0000105	2.2176	1.48108e-57	1.48108e-57	1	*
OG0000108	0.165312	3.84118e-80	3.5368e-32	1.08606e-48	N/S
OG0000108	0.537509	8.07219e-55	3.5368e-32	2.28234e-23	N/S
OG0000108	1.07958	2.90982e-42	3.5368e-32	8.22727e-11	N/S
OG0000108	2.2176	3.5368e-32	3.5368e-32	1	*
OG0000109	0.165312	1.12373e-88	4.99916e-37	2.24783e-52	N/S
OG0000109	0.537509	1.88584e-62	4.99916e-37	3.77231e-26	N/S
OG0000109	1.07958	9.2744e-49	4.99916e-37	1.85519e-12	N/S
OG0000109	2.2176	4.99916e-37	4.99916e-37	1	*
OG0000110	0.165312	3.09432e-78	1.38975e-33	2.22653e-45	N/S
OG0000110	0.537509	9.07362e-55	1.38975e-33	6.52895e-22	N/S
OG0000110	1.07958	4.62595e-43	1.38975e-33	3.32862e-10	N/S
OG0000110	2.2176	1.38975e-33	1.38975e-33	1	*
OG0000111	0.165312	6.89278e-107	5.54971e-40	1.24201e-67	N/S
OG0000111	0.537509	1.14572e-72	5.54971e-40	2.06446e-33	N/S
OG0000111	1.07958	6.42598e-55	5.54971e-40	1.15789e-15	N/S
OG0000111	2.2176	5.54971e-40	5.54971e-40	1	*
OG0000115	0.165312	1.16247e-85	7.07394e-35	1.64332e-51	N/S
OG0000115	0.537509	6.6248e-59	7.07394e-35	9.36507e-25	N/S
OG0000115	1.07958	1.73983e-45	7.07394e-35	2.4595e-11	N/S
OG0000115	2.2176	7.07394e-35	7.07394e-35	1	*
OG0000116	0.165312	3.36088e-63	2.26352e-28	1.48481e-35	N/S
OG0000116	0.537509	1.83297e-44	2.26352e-28	8.09787e-17	N/S
OG0000116	1.07958	1.60568e-35	2.26352e-28	7.09375e-08	N/S
OG0000116	2.2176	2.26352e-28	2.26352e-28	1	*
OG0000122	0.165312	2.56895e-67	7.38267e-30	3.47971e-38	N/S
OG0000122	0.537509	2.58569e-47	7.38267e-30	3.50237e-18	N/S
OG0000122	1.07958	1.5261e-37	7.38267e-30	2.06714e-08	N/S
OG0000122	2.2176	7.38267e-30	7.38267e-30	1	*
OG0000124	0.165312	1.48442e-48	6.32102e-21	2.34838e-28	N/S
OG0000124	0.537509	7.49824e-33	6.32102e-21	1.18624e-12	N/S
OG0000124	1.07958	9.86704e-26	6.32102e-21	1.56099e-05	N/S
OG0000124	2.2176	6.32092e-21	6.32102e-21	0.999984	*
OG0000125	0.165312	1.92526e-50	1.19559e-24	1.6103e-26	N/S
OG0000125	0.537509	1.66599e-36	1.19559e-24	1.39344e-12	N/S
OG0000125	1.07958	7.80236e-30	1.19559e-24	6.52593e-06	N/S
OG0000125	2.2176	1.19558e-24	1.19559e-24	0.999993	*
OG0000126	0.165312	1.76514e-116	1.38476e-48	1.27469e-68	N/S
OG0000126	0.537509	1.81276e-82	1.38476e-48	1.30908e-34	N/S
OG0000126	1.07958	1.89628e-64	1.38476e-48	1.36939e-16	N/S
OG0000126	2.2176	1.38476e-48	1.38476e-48	1	*
OG0000129	0.165312	5.12543e-25	2.68522e-17	1.90875e-08	N/S
OG0000129	0.537509	1.02882e-19	2.68522e-17	0.00383143	N/S
OG0000129	1.07958	5.35426e-18	2.68522e-17	0.199397	N/S
OG0000129	2.2176	2.13951e-17	2.68522e-17	0.796771	N/S
OG0000130	0.165312	1.34469e-111	1.55035e-39	8.67344e-73	N/S
OG0000130	0.537509	9.14331e-76	1.55035e-39	5.89756e-37	N/S
OG0000130	1.07958	2.27762e-56	1.55035e-39	1.4691e-17	N/S
OG0000130	2.2176	1.55035e-39	1.55035e-39	1	*
OG0000134	0.165312	2.96706e-108	2.22991e-46	1.33057e-62	N/S
OG0000134	0.537509	4.38705e-77	2.22991e-46	1.96737e-31	N/S
OG0000134	1.07958	1.14032e-60	2.22991e-46	5.11373e-15	N/S
OG0000134	2.2176	2.22991e-46	2.22991e-46	1	*
OG0000136	0.165312	3.86935e-42	1.64124e-21	2.35758e-21	N/S
OG0000136	0.537509	3.24761e-30	1.64124e-21	1.97876e-09	N/S
OG0000136	1.07958	5.41958e-25	1.64124e-21	0.000330213	N/S
OG0000136	2.2176	1.64069e-21	1.64124e-21	0.99967	*
OG0000137	0.165312	7.13176e-57	2.10081e-25	3.39477e-32	N/S
OG0000137	0.537509	1.07102e-39	2.10081e-25	5.09813e-15	N/S
OG0000137	1.07958	1.70716e-31	2.10081e-25	8.12618e-07	N/S
OG0000137	2.2176	2.10081e-25	2.10081e-25	0.999999	*
OG0000138	0.165312	5.12937e-47	8.03797e-22	6.38142e-26	N/S
OG0000138	0.537509	1.11323e-32	8.03797e-22	1.38496e-11	N/S
OG0000138	1.07958	3.11914e-26	8.03797e-22	3.88051e-05	N/S
OG0000138	2.2176	8.03766e-22	8.03797e-22	0.999961	*
OG0000139	0.165312	1.38953e-74	4.50219e-30	3.08633e-45	N/S
OG0000139	0.537509	8.82284e-51	4.50219e-30	1.95968e-21	N/S
OG0000139	1.07958	3.77187e-39	4.50219e-30	8.37784e-10	N/S
OG0000139	2.2176	4.50219e-30	4.50219e-30	1	*
OG0000140	0.165312	7.2224e-60	2.33593e-24	3.09187e-36	N/S
OG0000140	0.537509	2.78019e-40	2.33593e-24	1.19019e-16	N/S
OG0000140	1.07958	4.8378e-31	2.33593e-24	2.07103e-07	N/S
OG0000140	2.2176	2.33593e-24	2.33593e-24	1	*
OG0000141	0.165312	1.04975e-91	2.91454e-35	3.60176e-57	N/S
OG0000141	0.537509	6.14732e-63	2.91454e-35	2.10919e-28	N/S
OG0000141	1.07958	6.24016e-48	2.91454e-35	2.14104e-13	N/S
OG0000141	2.2176	2.91454e-35	2.91454e-35	1	*
OG0000145	0.165312	3.32865e-182	6.347e-73	5.24445e-110	N/S
OG0000145	0.537509	5.73881e-130	6.347e-73	9.04177e-58	N/S
OG0000145	1.07958	1.13095e-100	6.347e-73	1.78187e-28	N/S
OG0000145	2.2176	6.347e-73	6.347e-73	1	*
OG0000146	0.165312	8.76906e-45	1.7505e-21	5.00947e-24	N/S
OG0000146	0.537509	1.90553e-31	1.7505e-21	1.08856e-10	N/S
