FamilyID	Metru<1>	Glmax<2>	Setor<3>	Zeins<4>	Lyrho<5>	Cechi<6>	Poten<7>	Qumon<8>	Erjap<9>	Vivin<10>	Artha<11>	<12>	<13>	<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>
OG0000073	0.0564697	0.0564697	0.00260983	0.440439	0.731154	5.11718e-05	0.555307	2.12438e-07	0.107877	2.5263e-05	0.899877	N/A	0.0628423	0.770884	0.511871	0.189504	0.131465	0.189307	0.722859	0.857683	0.0396418
OG0000077	1.88559e-14	0.0240515	0.00046321	1.69041e-05	1.5319e-08	0.715688	0.542395	3.17463e-08	0.0030994	1.19486e-09	0.0638416	N/A	0.733282	0.733282	0.508943	0.146223	0.661159	0.000267117	0.722859	0.331878	0.793547
OG0000078	0.00168763	3.6149e-67	0.00565123	0.692915	2.1655e-50	1.6072e-05	2.97595e-05	1.57393e-05	0.000232633	4.00601e-16	0.481507	N/A	0.607061	0.607061	0.503008	0.591201	0.556856	0.57468	0.0313761	0.00235063	0.654515
OG0000079	0.0727825	1.68952e-10	0.137975	0.00727725	0.0054518	0.0802872	2.26864e-06	0.069696	6.83097e-07	1.08594e-14	0.275242	N/A	0.118659	0.709387	0.507469	0.123294	5.23075e-05	0.0726894	0.177083	0.156765	0.0947717
OG0000082	4.71607e-10	0.04859	0.00725266	0.175983	0.241356	0.023328	0.0224718	2.77251e-32	6.99043e-06	4.33897e-14	0.631356	N/A	0.0321862	0.733282	0.508943	0.708242	0.64381	0.679098	6.06643e-05	0.517066	0.121906
OG0000084	0.226535	3.20405e-13	0.0255825	0.844732	0.605641	6.65952e-05	0.535719	1.26974e-16	2.00677e-09	7.06308e-06	0.000726388	N/A	0.733282	0.365336	0.507469	0.685047	0.0136725	1.28309e-07	0.0811176	0.0621958	0.770753
OG0000085	0.040973	0.040973	0.32316	0.0168669	0.00369783	6.97696e-05	6.33561e-08	0.0268573	0.000101277	3.69556e-07	0.000783728	N/A	0.753567	0.753567	0.51041	0.168306	0.67708	0.155105	0.696839	0.579002	0.00484057
OG0000088	1.20458e-21	0.00175786	0.109101	0.0485863	0.00369783	1.18379e-06	0.0336558	0.0153255	6.99043e-06	0.001365	0.000192594	N/A	0.222111	0.785753	0.513325	0.761417	0.691708	0.172492	0.710402	0.2395	0.561066
OG0000090	2.37368e-10	0.136399	0.32316	0.071423	1.87264e-05	2.75154e-08	0.0224718	0.0301134	0.0301134	0.00237181	8.00055e-12	N/A	0.753567	0.400749	0.508943	0.146223	0.103666	0.155105	0.696839	0.834428	0.00914374
OG0000091	0.00010433	0.665902	5.68186e-05	0.055774	7.87259e-05	0.189307	0.0639147	2.39788e-12	0.199207	1.60443e-10	0.107184	N/A	0.733282	0.733282	0.508943	0.146223	0.661159	0.69842	0.665902	0.0457233	0.121906
OG0000093	0.150296	4.71607e-10	0.839806	0.641492	0.00042358	7.92407e-10	0.000116557	3.11831e-06	1.87745e-05	0.00240683	0.907722	N/A	0.0105062	0.266141	0.516213	0.4624	0.705163	0.745041	0.710402	0.263514	0.60193
OG0000095	0.255668	8.29403e-11	0.132474	0.355483	2.84578e-28	4.15274e-12	0.0262057	0.00637536	7.44032e-07	4.1413e-13	0.0536305	N/A	0.00246226	0.753567	0.51041	0.728407	0.661159	0.69842	0.665902	0.331878	0.147378
OG0000097	0.163859	1.7738e-07	0.198531	0.440439	0.00708624	0.00267952	0.000116557	0.00705209	0.0189244	0.128083	0.326613	N/A	0.222111	0.11304	0.516213	0.4624	0.705163	0.745041	0.150296	0.622846	0.238091
OG0000098	4.71607e-10	0.04859	0.801214	0.355483	0.605641	0.605641	0.542395	1.07387e-13	0.63012	1.39683e-05	0.000783728	N/A	0.753567	0.400749	0.508943	0.708242	0.0893682	0.69842	0.00185407	0.0154283	0.121906
OG0000099	6.00914e-15	0.255668	0.108205	0.231884	0.0604963	0.159712	9.38976e-07	1.63688e-20	0.0984948	2.53733e-16	0.208842	N/A	0.0898554	0.681086	0.505989	0.658271	0.604207	0.0155559	0.0928458	0.423508	1.65228e-05
OG0000101	0.000103973	0.0111395	0.00337878	3.92584e-07	0.00267952	6.20287e-07	8.80845e-05	0.0014472	0.0984948	0.00241231	0.0247595	N/A	0.000374607	0.244758	0.514772	0.440237	0.691708	0.731154	1.60204e-05	0.857683	0.848304
OG0000102	2.94138e-76	0.0979483	4.57696e-05	0.0691484	0.5	0.5	0.0111904	0.588426	4.63939e-15	0.369179	0.811774	N/A	0.160802	0.558571	0.501507	0.549164	0.000455522	0.0604963	1.75376e-16	0.155921	3.70854e-05
OG0000105	7.01211e-12	0.122182	0.0660601	0.0300988	4.12938e-05	0.202617	2.56541e-07	4.78373e-86	1.0358e-08	0.0223862	0.852353	N/A	0.647388	0.647388	0.504502	0.627253	0.581601	1.7649e-05	0.107657	0.164447	0.00380557
OG0000108	0.00128591	1.83697e-15	0.177405	0.0875408	0.00524464	0.000122256	6.45273e-05	0.069696	0.000153067	8.07931e-06	0.701108	N/A	0.00714645	0.785753	0.513325	0.761417	0.691708	0.731154	0.696839	0.602646	0.195057
OG0000109	0.0645514	0.0645514	0.177405	0.136195	6.35299e-28	3.30231e-05	0.0149905	0.000105432	0.109983	0.00108772	0.631356	N/A	0.681086	0.681086	0.505989	9.49696e-05	0.67708	0.155105	0.00364605	0.059244	0.741662
OG0000110	6.34927e-11	0.150296	0.010962	0.055774	0.0024469	3.97574e-07	0.0224718	1.92448e-05	0.069696	3.23277e-09	0.211311	N/A	0.146394	0.733282	0.508943	0.708242	0.0893682	0.69842	0.00185407	0.818175	0.253689
OG0000111	2.17934e-16	0.00175786	0.000315299	0.207164	1.78736e-14	0.00189725	2.84384e-09	0.000531625	0.069696	4.48239e-07	0.208842	N/A	0.0898554	0.681086	0.505989	0.00148832	0.661159	0.00369783	0.710402	0.331878	0.00796426
OG0000115	1.00015e-08	0.648249	0.00432112	0.278355	0.118681	0.0320554	0.0537836	5.05083e-10	0.156876	0.000185553	8.00055e-12	N/A	0.753567	0.0356557	0.507469	0.685047	0.624881	0.657428	0.0777746	0.257265	0.217957
OG0000116	0.281954	0.002664	0.0801602	0.856679	0.0802872	0.202617	0.029934	0.00237675	0.0311373	4.9482e-08	0.330168	N/A	0.00445982	0.770884	0.511871	0.746003	0.67708	0.715688	0.682049	0.00594944	0.00717913
OG0000122	0.0102747	0.107657	0.00370143	0.114766	0.0168109	0.0415217	0.0639147	0.069696	2.51792e-08	5.83305e-11	0.211311	N/A	0.146394	0.733282	0.508943	0.146223	0.661159	0.69842	0.665902	0.834428	0.253689
OG0000124	0.710402	8.0951e-14	0.839806	0.177578	0.0604963	0.0604963	7.02233e-10	0.00705209	0.0189244	0.388515	0.701108	N/A	0.0628423	0.0145001	0.516213	0.4624	0.705163	0.745041	0.710402	1.13395e-05	0.238091
OG0000125	0.01313	0.01313	0.369741	0.856679	0.000197433	0.0802872	0.029934	0.069696	0.069696	0.606456	1.38788e-05	N/A	0.753567	0.198169	0.511871	0.746003	0.67708	0.00524464	0.000514575	0.00594944	0.535725
OG0000126	0.558986	0.558986	0.059108	3.5652e-07	0.000799036	1.62657e-06	2.84384e-09	4.8425e-05	0.0889991	7.66277e-20	0.107184	N/A	0.365336	0.324763	0.505989	0.658271	0.604207	0.633073	0.00323242	0.769369	0.000195129
OG0000129	0.136399	0.000254287	0.296704	0.856679	0.13716	0.308224	8.80845e-05	0.237502	0.0014472	0.417806	0.134004	N/A	0.0793697	0.244758	0.514772	0.0475011	0.67708	0.715688	0.122182	0.579002	0.848304
OG0000130	3.17406e-54	0.0240515	0.564894	9.74611e-07	0.000157183	0.276417	0.0111904	0.0297402	0.519894	0.762169	0.120402	N/A	0.558571	0.558571	0.501507	1.62773e-07	0.00108517	0.172492	0.150296	0.818175	0.588679
OG0000134	0.0624767	0.60775	0.16583	0.00168799	9.25365e-20	9.60235e-08	0.0434505	4.46e-13	0.156876	1.74847e-11	0.0808574	N/A	0.709387	0.324763	0.505989	0.0995877	0.624881	0.241356	0.60775	0.797164	0.0677799
OG0000136	0.122182	5.88409e-07	0.816545	0.856679	0.633073	0.0802872	0.0336558	0.218829	4.8425e-05	0.000386335	0.557686	N/A	0.198169	0.222111	0.513325	0.415683	0.67708	0.715688	0.682049	0.00594944	0.838322
OG0000137	7.59703e-05	0.0727825	0.00225819	0.0284231	3.58875e-05	0.118681	0.0030239	0.000344615	0.00108076	0.0907917	0.0161817	N/A	0.222111	0.785753	0.513325	0.0397845	0.661159	0.13716	9.83164e-06	0.55093	0.838322
OG0000138	0.04859	9.9828e-09	0.801214	0.000362284	0.0320554	0.679098	0.029934	1.19129e-06	0.199207	0.00731092	0.254679	N/A	0.0628423	0.770884	0.511871	0.388378	0.661159	0.69842	0.00185407	0.55093	0.826319
OG0000139	0.107657	8.91594e-07	0.0660601	0.809615	0.0604963	0.605641	0.0434505	1.32917e-07	0.0984948	4.38394e-12	0.631356	N/A	0.681086	0.681086	0.505989	0.658271	0.0600983	0.023328	0.665902	0.423508	1.65228e-05
OG0000140	0.00183118	0.0152708	0.00337878	0.599423	0.118681	0.000780703	1.66244e-08	0.556222	0.0301134	0.00151244	0.701108	N/A	0.0628423	0.222111	0.513325	0.415683	0.67708	0.155105	1.30002e-07	0.213703	3.31065e-05
OG0000141	1.7414e-31	0.665902	0.000798619	0.00765481	7.63302e-09	0.0124899	0.0187331	0.0500369	0.588426	2.14168e-05	0.275242	N/A	0.118659	0.709387	0.507469	0.123294	0.64381	0.679098	0.0928458	0.818175	0.770753
OG0000145	0.5	0.5	0.582035	0.16972	0.5	0.5	0.0111904	0.5	0.5	0.369179	1.08765e-53	N/A	0.000718295	0.558571	0.501507	0.549164	0.529741	0.539668	0.0461201	0.155921	0.130856
OG0000146	0.682049	1.53934e-14	0.801214	0.207164	0.241356	0.0997063	0.029934	0.63012	0.000776662	0.470725	0.000783728	N/A	0.753567	0.198169	0.511871	0.388378	0.661159	0.69842	0.107657	0.186095	0.826319
