Orthogroup	Artha	Cechi	Erjap	Glmax	Lyrho	Metru	Poten	Qumon	Setor	Vivin	Zeins	Total
OG0000186	0	0	89	0	0	0	0	1	0	1	0	91
OG0000187	0	0	0	0	0	88	0	2	0	1	0	91
OG0000188	0	0	0	0	0	0	0	0	91	0	0	91
OG0000189	6	2	1	11	18	19	3	6	8	10	6	90
OG0000190	7	5	10	12	7	10	13	4	5	9	8	90
OG0000191	6	2	0	11	1	31	3	5	2	22	6	89
OG0000192	10	12	1	5	10	17	0	31	1	1	1	89
OG0000193	8	6	6	15	7	12	4	9	4	10	8	89
OG0000194	4	0	2	8	19	4	6	14	15	7	10	89
OG0000195	0	0	0	0	0	0	0	0	89	0	0	89
OG0000196	0	0	0	0	0	0	0	0	89	0	0	89
OG0000197	8	1	7	10	5	6	10	11	3	18	9	88
OG0000198	4	5	8	14	8	7	14	5	6	7	10	88
OG0000199	3	3	2	12	9	19	7	4	3	16	10	88
OG0000200	4	6	3	7	12	6	6	2	2	36	4	88
OG0000201	0	0	0	0	0	0	0	0	88	0	0	88
OG0000202	10	5	0	1	6	15	0	7	1	28	14	87
OG0000203	11	4	11	14	7	7	9	5	5	8	6	87
OG0000204	0	0	1	3	4	3	9	4	3	57	3	87
OG0000205	0	0	0	6	0	62	0	0	7	0	12	87
OG0000206	0	0	0	0	0	87	0	0	0	0	0	87
OG0000207	4	6	7	19	1	11	7	3	7	13	8	86
OG0000208	0	0	86	0	0	0	0	0	0	0	0	86
OG0000209	10	2	6	9	17	6	5	7	5	14	4	85
OG0000210	3	0	2	2	0	0	2	75	0	0	1	85
OG0000211	2	14	13	0	11	1	3	9	10	16	6	85
OG0000212	0	1	18	5	4	48	0	0	0	1	8	85
OG0000213	0	0	85	0	0	0	0	0	0	0	0	85
OG0000214	4	8	1	1	4	7	4	7	10	34	4	84
OG0000215	11	1	6	12	6	20	5	7	8	1	7	84
OG0000216	1	0	3	5	6	7	6	2	0	47	7	84
OG0000217	1	2	3	10	4	7	2	4	2	45	4	84
OG0000218	0	0	84	0	0	0	0	0	0	0	0	84
OG0000219	7	3	6	15	5	7	10	9	4	8	9	83
OG0000220	13	7	7	11	10	17	1	1	7	5	4	83
OG0000221	6	5	7	9	2	27	4	5	2	13	3	83
OG0000222	0	0	83	0	0	0	0	0	0	0	0	83
OG0000223	0	0	0	81	0	0	0	0	1	0	1	83
OG0000224	0	0	0	0	0	0	0	0	0	83	0	83
OG0000225	7	5	9	9	8	6	10	7	4	8	9	82
OG0000226	0	5	0	12	15	6	5	8	8	14	9	82
OG0000227	81	0	0	0	0	0	0	0	0	0	0	81
OG0000228	10	2	2	6	3	7	1	8	9	27	6	81
OG0000229	6	2	14	3	4	2	1	26	2	19	2	81
OG0000230	0	2	2	0	0	22	1	0	54	0	0	81
OG0000231	0	0	0	0	0	0	0	0	81	0	0	81
OG0000232	2	9	5	10	8	16	4	2	4	20	0	80
OG0000233	0	0	80	0	0	0	0	0	0	0	0	80
OG0000234	0	0	0	74	0	3	0	0	0	3	0	80
OG0000235	0	0	0	80	0	0	0	0	0	0	0	80
OG0000236	9	3	47	3	0	6	0	10	1	0	0	79
OG0000237	7	5	5	7	4	10	11	14	4	8	4	79
OG0000238	2	0	0	69	1	0	0	3	2	2	0	79
OG0000239	6	7	9	8	6	13	5	4	4	10	7	79
OG0000240	1	9	1	10	10	4	4	4	4	28	4	79
OG0000241	0	0	0	0	0	0	23	2	54	0	0	79
OG0000242	0	0	0	0	0	0	79	0	0	0	0	79
OG0000243	0	0	0	0	0	0	0	79	0	0	0	79
OG0000244	4	6	2	10	13	1	0	12	13	13	4	78
OG0000245	0	1	7	18	11	19	1	10	0	6	5	78
OG0000246	0	0	0	0	0	78	0	0	0	0	0	78
OG0000247	0	0	0	0	0	0	0	78	0	0	0	78
OG0000248	0	0	0	0	0	0	0	78	0	0	0	78
OG0000249	11	5	5	12	5	6	10	4	5	8	6	77
OG0000250	8	5	7	11	4	6	10	4	8	8	6	77
OG0000251	7	6	3	11	2	18	1	14	8	4	3	77
OG0000252	6	3	10	12	6	6	11	4	5	8	6	77
OG0000253	2	0	6	21	5	7	0	6	0	28	2	77
OG0000254	1	0	0	4	0	4	0	36	21	0	11	77
OG0000255	1	2	10	12	6	3	11	8	6	17	1	77
OG0000256	0	8	1	6	12	32	2	3	1	5	7	77
OG0000257	0	1	0	0	0	0	0	75	1	0	0	77
OG0000258	0	2	2	20	18	2	0	12	3	16	2	77
OG0000259	0	0	74	0	0	3	0	0	0	0	0	77
OG0000260	0	0	0	0	76	0	0	0	0	1	0	77
OG0000261	3	1	7	12	7	5	7	5	15	8	6	76
OG0000262	11	3	10	8	8	6	12	3	2	11	2	76
OG0000263	14	4	7	0	2	19	2	6	7	13	2	76
OG0000264	0	0	76	0	0	0	0	0	0	0	0	76
OG0000265	0	0	0	2	14	24	0	15	4	10	7	76
OG0000266	2	0	8	12	1	4	9	13	4	16	6	75
OG0000267	4	6	5	14	7	15	5	9	5	4	1	75
OG0000268	1	2	7	14	14	12	2	10	3	0	10	75
OG0000269	9	4	5	3	2	1	2	4	3	41	1	75
OG0000270	1	25	5	5	6	16	1	3	4	2	7	75
OG0000271	1	2	6	13	9	16	2	2	12	6	6	75
OG0000272	0	7	9	7	14	4	1	9	5	7	12	75
OG0000273	0	0	75	0	0	0	0	0	0	0	0	75
OG0000274	0	0	0	2	0	73	0	0	0	0	0	75
OG0000275	18	4	0	10	7	9	3	2	6	12	3	74
OG0000276	10	4	6	7	2	16	6	4	4	8	7	74
OG0000277	5	0	4	20	4	15	0	5	0	17	4	74
OG0000278	2	7	4	10	10	6	7	5	2	13	8	74
OG0000279	2	0	2	3	16	17	3	2	4	21	4	74
OG0000280	1	1	6	10	9	15	8	1	6	11	6	74
OG0000281	7	5	4	3	3	23	0	12	2	11	4	74
OG0000282	0	0	74	0	0	0	0	0	0	0	0	74
OG0000283	0	0	0	0	0	0	0	74	0	0	0	74
OG0000284	0	0	0	0	0	0	0	0	74	0	0	74
OG0000285	7	6	6	9	3	9	8	8	4	6	7	73
OG0000286	2	5	3	23	5	11	5	9	6	1	3	73
OG0000287	0	0	0	2	4	45	0	1	15	0	6	73
OG0000288	0	0	0	0	0	0	0	0	73	0	0	73
OG0000289	0	0	0	0	0	0	0	0	73	0	0	73
OG0000290	0	0	0	0	0	0	0	0	73	0	0	73
OG0000291	2	3	6	9	8	11	5	4	5	9	10	72
OG0000292	5	4	3	25	1	11	6	5	7	4	1	72
OG0000293	16	2	2	3	17	1	3	7	5	8	8	72
OG0000294	2	0	0	0	0	0	0	1	0	69	0	72
OG0000295	1	4	2	4	9	3	6	11	5	21	6	72
OG0000296	0	0	71	0	0	0	0	0	1	0	0	72
OG0000297	9	4	7	13	4	5	8	3	6	6	6	71
OG0000298	3	4	5	6	5	7	5	4	6	20	6	71
OG0000299	5	6	4	14	7	8	1	11	3	6	6	71
OG0000300	11	3	8	10	6	4	6	6	5	6	6	71
OG0000301	3	3	2	4	5	39	10	2	1	0	2	71
OG0000302	1	3	5	4	8	6	1	7	1	31	4	71
OG0000303	5	1	6	8	10	6	3	5	12	7	8	71
OG0000304	3	1	1	10	7	5	2	10	16	11	5	71
OG0000305	2	2	5	7	1	3	3	12	2	30	4	71
OG0000306	0	7	2	9	9	12	2	9	8	3	10	71
OG0000307	0	0	71	0	0	0	0	0	0	0	0	71
OG0000308	0	0	1	1	2	9	0	1	57	0	0	71
OG0000309	0	0	0	0	0	0	0	11	60	0	0	71
OG0000310	5	3	5	13	1	7	15	3	6	6	6	70
OG0000311	1	0	0	5	5	1	0	1	56	1	0	70
OG0000312	3	7	4	15	0	28	1	3	3	2	4	70
OG0000313	0	2	0	0	2	44	6	0	1	1	14	70
OG0000314	0	0	1	57	1	2	0	0	8	1	0	70
OG0000315	0	0	0	0	2	0	0	0	0	68	0	70
OG0000316	0	0	0	0	1	0	0	0	69	0	0	70
OG0000317	0	0	0	0	0	0	0	70	0	0	0	70
OG0000318	3	6	6	18	8	7	3	2	3	5	8	69
OG0000319	2	9	1	7	5	20	1	4	2	6	12	69
OG0000320	5	6	4	15	1	8	8	4	3	6	9	69
OG0000321	2	9	0	15	1	9	5	0	5	11	12	69
OG0000322	68	0	0	0	0	0	0	0	0	0	0	68
OG0000323	10	5	4	11	4	6	10	6	4	4	4	68
OG0000324	1	7	1	4	0	0	0	17	28	3	7	68
OG0000325	24	11	3	1	0	4	0	0	10	7	8	68
OG0000326	2	7	10	8	11	10	2	4	2	3	9	68
OG0000327	0	0	68	0	0	0	0	0	0	0	0	68
OG0000328	2	4	8	13	8	11	3	4	3	4	7	67
OG0000329	8	4	3	1	0	5	2	14	7	16	7	67
OG0000330	4	0	5	5	14	5	4	8	9	4	9	67
OG0000331	2	5	7	8	6	5	5	10	3	12	4	67
OG0000332	4	3	4	9	6	7	8	6	4	10	6	67
OG0000333	14	3	4	6	7	5	9	4	3	7	5	67
OG0000334	2	4	8	12	2	8	6	4	2	13	6	67
OG0000335	2	7	2	8	24	4	4	9	1	4	2	67
OG0000336	4	4	20	1	1	4	7	11	1	11	3	67
OG0000337	2	9	3	7	3	6	4	6	2	20	5	67
OG0000338	0	7	8	10	4	11	12	1	4	3	7	67
OG0000339	0	1	0	1	58	2	0	4	0	1	0	67
OG0000340	0	18	2	8	4	16	4	3	2	9	1	67
OG0000341	0	0	66	0	0	0	0	0	0	0	1	67
OG0000342	7	1	5	11	0	9	1	5	4	18	5	66
OG0000343	9	3	8	5	10	11	4	3	2	7	4	66
OG0000344	1	0	0	3	0	1	1	0	60	0	0	66
OG0000345	0	0	66	0	0	0	0	0	0	0	0	66
OG0000346	0	0	0	0	0	66	0	0	0	0	0	66
OG0000347	0	0	0	0	0	0	1	8	57	0	0	66
OG0000348	5	3	6	11	7	4	9	3	4	7	6	65
OG0000349	2	3	2	9	2	8	4	6	5	21	3	65
OG0000350	0	0	65	0	0	0	0	0	0	0	0	65
OG0000351	0	0	0	64	0	1	0	0	0	0	0	65
OG0000352	0	0	0	1	0	63	0	0	1	0	0	65
OG0000353	0	0	0	0	0	0	64	1	0	0	0	65
OG0000354	0	0	0	0	0	0	0	65	0	0	0	65
OG0000355	0	0	0	0	0	0	0	0	65	0	0	65
OG0000356	1	3	6	11	6	8	5	3	4	13	4	64
OG0000357	8	4	8	10	7	7	7	4	2	7	0	64
OG0000358	7	3	8	7	3	10	7	5	3	8	3	64
